INITIAL FERN BIOMASS (g),FINAL FERN BIOMASS (g),GROWTH DURATION (days),SOIL REE CONCENTRATION (mg/kg),PLANT REE CONCENTRATION (mg/kg),HARVESTED BIOMASS (g),EXTRACTION EFFICIENCY (%),INITIAL SOIL REE (mg/kg),FINAL SOIL REE (mg/kg),BIOMASS INCREASE (g),GROWTH RATE (g/day),GROWTH EFFICIENCY (%),TOTAL METAL (mg),UPTAKE (%),BAF,RECOVERED METAL (mg),EXTRACTION LOSS (mg),RECOVERY PERCENTAGE (%),Reduction (%),Safety Index,Environmental Status
116.71,343.05,42.08,3544.09,1539.76,246.59,65.89,4707.8,693.16,226.35,5.38,65.98,379.69,43.45,0.434,250.19,129.5,65.89,85.28,2.31,Unsafe
124.32,219.23,170.87,2393.32,1822.63,408.24,56.81,2916.37,1750.43,94.91,0.56,43.29,744.07,76.15,0.762,422.69,321.38,56.81,39.98,5.83,Unsafe
109.92,429.08,52.66,3286.22,1571.21,417.02,53.0,4859.44,2171.32,319.15,6.06,74.38,655.23,47.81,0.478,347.3,307.93,53.0,55.32,7.24,Unsafe
49.85,205.51,154.1,3086.01,2384.64,186.09,62.31,418.09,195.61,155.66,1.01,75.74,443.75,77.27,0.773,276.52,167.23,62.31,53.21,0.65,Safe
99.38,458.63,167.78,4908.94,1031.83,307.65,87.35,3531.55,2881.21,359.25,2.14,78.33,317.44,21.02,0.21,277.28,40.16,87.35,18.41,9.6,Unsafe
24.18,292.95,84.46,226.5,60.1,310.61,61.07,265.98,190.13,268.77,3.18,91.75,18.67,26.53,0.265,11.4,7.27,61.07,28.52,0.63,Safe
148.24,218.4,84.95,4970.75,2904.28,462.46,49.1,234.35,14.28,70.16,0.83,32.13,1343.12,58.43,0.584,659.47,683.65,49.1,93.91,0.05,Safe
20.02,242.46,73.91,4041.88,2761.39,209.96,94.33,2993.98,2634.64,222.44,3.01,91.74,579.77,68.32,0.683,546.89,32.88,94.33,12.0,8.78,Unsafe
62.28,328.87,90.15,4062.06,1791.0,174.25,94.52,4715.46,2102.07,266.59,2.96,81.06,312.09,44.09,0.441,294.97,17.11,94.52,55.42,7.01,Unsafe
125.1,137.21,166.54,3546.48,2341.85,408.91,91.68,4713.77,2509.53,12.11,0.07,8.82,957.61,66.03,0.66,877.93,79.68,91.68,46.76,8.37,Unsafe
132.18,156.43,51.58,3776.82,1685.9,397.26,71.52,4448.96,1646.93,24.25,0.47,15.5,669.75,44.64,0.446,478.98,190.77,71.52,62.98,5.49,Unsafe
86.55,388.87,53.33,2240.49,678.99,56.02,59.01,4170.64,2094.43,302.32,5.67,77.74,38.03,30.31,0.303,22.45,15.59,59.01,49.78,6.98,Unsafe
53.28,246.82,44.93,3743.34,228.0,490.84,62.37,1467.28,812.81,193.54,4.31,78.41,111.91,6.09,0.061,69.8,42.12,62.37,44.6,2.71,Unsafe
52.32,335.96,55.74,753.43,521.49,385.14,93.26,3368.58,808.25,283.64,5.09,84.43,200.85,69.22,0.692,187.31,13.54,93.26,76.01,2.69,Unsafe
113.97,160.21,117.17,2477.06,2094.09,282.55,83.88,4948.61,1627.14,46.24,0.39,28.86,591.69,84.54,0.845,496.28,95.41,83.88,67.12,5.42,Unsafe
130.16,364.76,43.45,1075.04,569.21,476.25,43.93,4058.26,2132.33,234.6,5.4,64.32,271.09,52.95,0.529,119.09,152.0,43.93,47.46,7.11,Unsafe
71.22,488.21,87.59,2070.37,1233.42,117.65,80.33,471.66,11.91,416.99,4.76,85.41,145.11,59.57,0.596,116.57,28.54,80.33,97.48,0.04,Safe
64.47,255.77,148.03,2239.74,2111.73,301.62,53.36,2970.16,254.68,191.29,1.29,74.79,636.93,94.28,0.943,339.84,297.09,53.36,91.43,0.85,Safe
30.71,413.51,45.57,2081.32,846.75,334.9,78.03,1262.15,872.17,382.79,8.4,92.57,283.58,40.68,0.407,221.29,62.29,78.03,30.9,2.91,Unsafe
57.67,135.7,94.7,2746.94,1721.86,271.45,64.43,4713.99,1012.75,78.03,0.82,57.5,467.41,62.68,0.627,301.14,166.27,64.43,78.52,3.38,Unsafe
139.98,273.61,113.28,3018.11,1016.38,480.62,94.47,1801.1,1662.59,133.63,1.18,48.84,488.5,33.68,0.337,461.5,26.99,94.47,7.69,5.54,Unsafe
39.15,487.95,116.4,4485.09,1038.3,366.49,80.4,4086.18,1477.87,448.81,3.86,91.98,380.53,23.15,0.232,305.93,74.6,80.4,63.83,4.93,Unsafe
46.23,437.94,105.38,895.24,29.01,440.99,84.5,4298.32,970.75,391.71,3.72,89.44,12.79,3.24,0.032,10.81,1.98,84.5,77.42,3.24,Unsafe
145.62,440.01,81.95,4142.17,915.42,430.39,47.68,619.26,466.26,294.39,3.59,66.9,393.98,22.1,0.221,187.83,206.15,47.68,24.71,1.55,Unsafe
104.07,267.71,51.96,2421.5,2298.08,257.54,66.42,1323.12,548.86,163.64,3.15,61.13,591.84,94.9,0.949,393.07,198.77,66.42,58.52,1.83,Unsafe
131.16,251.87,127.48,4410.93,1367.85,491.28,74.63,4252.75,2855.2,120.71,0.95,47.93,672.0,31.01,0.31,501.5,170.5,74.63,32.86,9.52,Unsafe
107.51,340.08,79.89,4577.21,289.82,387.21,45.89,2742.21,1997.31,232.57,2.91,68.39,112.22,6.33,0.063,51.49,60.73,45.89,27.16,6.66,Unsafe
66.23,421.11,105.26,463.03,325.61,52.42,45.48,2317.05,226.75,354.88,3.37,84.27,17.07,70.32,0.703,7.76,9.31,45.48,90.21,0.76,Safe
40.64,444.97,94.44,3458.82,2817.25,455.5,73.42,3787.62,1653.93,404.33,4.28,90.87,1283.26,81.45,0.815,942.23,341.03,73.42,56.33,5.51,Unsafe
89.78,357.74,95.42,1920.63,1145.76,182.95,66.54,2771.73,2111.09,267.96,2.81,74.9,209.61,59.66,0.597,139.49,70.13,66.54,23.83,7.04,Unsafe
147.78,395.36,56.14,3162.53,2972.44,308.29,47.87,4684.4,239.36,247.58,4.41,62.62,916.36,93.99,0.94,438.67,477.7,47.87,94.89,0.8,Safe
81.87,119.3,176.15,2658.44,748.31,219.75,43.57,1181.33,125.05,37.43,0.21,31.37,164.44,28.15,0.281,71.65,92.79,43.57,89.41,0.42,Safe
48.4,491.78,38.31,1376.06,1254.43,61.18,58.75,4238.61,2266.39,443.38,11.57,90.16,76.75,91.16,0.912,45.09,31.65,58.75,46.53,7.55,Unsafe
30.34,154.46,102.2,2650.74,1998.83,459.1,47.15,1046.28,846.61,124.12,1.21,80.36,917.67,75.41,0.754,432.67,484.99,47.15,19.08,2.82,Unsafe
94.37,461.2,135.53,4481.32,1092.89,234.18,88.48,2795.18,258.05,366.83,2.71,79.54,255.93,24.39,0.244,226.46,29.47,88.48,90.77,0.86,Safe
140.37,458.84,131.48,2950.27,207.22,229.97,63.94,1975.54,961.12,318.48,2.42,69.41,47.65,7.02,0.07,30.47,17.18,63.94,51.35,3.2,Unsafe
104.87,332.0,159.45,755.57,159.94,378.39,42.78,3033.89,628.72,227.13,1.42,68.41,60.52,21.17,0.212,25.89,34.63,42.78,79.28,2.1,Unsafe
73.18,411.68,160.16,2907.97,295.35,424.51,68.97,3759.84,1202.59,338.5,2.11,82.22,125.38,10.16,0.102,86.47,38.91,68.97,68.01,4.01,Unsafe
94.18,245.9,154.65,3861.83,20.39,161.78,70.96,1360.85,501.49,151.72,0.98,61.7,3.3,0.53,0.005,2.34,0.96,70.96,63.15,1.67,Unsafe
120.53,496.37,36.83,2998.39,1967.48,344.92,45.76,3014.81,1965.86,375.84,10.2,75.72,678.62,65.62,0.656,310.55,368.07,45.76,34.79,6.55,Unsafe
135.33,187.57,62.77,636.28,621.59,368.62,70.38,4940.52,1488.98,52.24,0.83,27.85,229.13,97.69,0.977,161.27,67.87,70.38,69.86,4.96,Unsafe
36.0,358.38,111.73,4641.8,1047.49,94.04,64.24,4621.45,1699.29,322.38,2.89,89.96,98.51,22.57,0.226,63.29,35.22,64.24,63.23,5.66,Unsafe
70.1,216.19,175.29,2614.32,1933.07,230.69,74.68,2227.01,663.72,146.09,0.83,67.57,445.93,73.94,0.739,333.03,112.9,74.68,70.2,2.21,Unsafe
85.96,408.63,172.19,4541.66,2542.1,118.82,86.91,2086.34,1695.66,322.67,1.87,78.96,302.06,55.97,0.56,262.51,39.55,86.91,18.73,5.65,Unsafe
110.4,453.61,140.78,2289.95,1794.53,155.9,52.34,636.62,37.04,343.21,2.44,75.66,279.77,78.37,0.784,146.44,133.33,52.34,94.18,0.12,Safe
133.09,408.15,97.53,2649.33,1589.43,428.03,93.59,2353.23,1073.98,275.06,2.82,67.39,680.32,59.99,0.6,636.7,43.62,93.59,54.36,3.58,Unsafe
134.67,494.66,45.43,4406.32,2482.57,433.74,69.81,1631.07,746.75,359.98,7.92,72.77,1076.8,56.34,0.563,751.76,325.04,69.81,54.22,2.49,Unsafe
42.07,308.24,121.85,3212.35,873.36,88.9,63.74,4095.85,378.36,266.17,2.18,86.35,77.64,27.19,0.272,49.49,28.15,63.74,90.76,1.26,Unsafe
126.01,449.53,86.4,4967.93,28.06,232.34,57.7,3209.18,2917.87,323.52,3.74,71.97,6.52,0.56,0.006,3.76,2.76,57.7,9.08,9.73,Unsafe
109.56,353.89,105.27,2417.06,676.69,487.24,47.21,203.48,20.98,244.33,2.32,69.04,329.71,28.0,0.28,155.64,174.06,47.21,89.69,0.07,Safe
131.65,188.63,116.57,4057.75,345.0,185.36,60.36,1049.77,231.08,56.98,0.49,30.21,63.95,8.5,0.085,38.6,25.35,60.36,77.99,0.77,Safe
22.17,349.51,164.3,730.38,402.96,239.01,46.66,1931.53,1296.37,327.34,1.99,93.66,96.31,55.17,0.552,44.94,51.38,46.66,32.88,4.32,Unsafe
116.79,405.22,51.63,2616.42,2203.68,69.37,74.98,3824.66,2512.25,288.43,5.59,71.18,152.88,84.23,0.842,114.63,38.24,74.98,34.31,8.37,Unsafe
120.82,386.53,133.55,4727.59,585.34,183.1,80.94,1542.41,246.72,265.71,1.99,68.74,107.17,12.38,0.124,86.74,20.43,80.94,84.0,0.82,Safe
113.42,374.19,123.27,737.04,246.92,482.04,55.6,4710.67,2490.64,260.78,2.12,69.69,119.03,33.5,0.335,66.18,52.85,55.6,47.13,8.3,Unsafe
108.34,455.96,139.87,3928.54,1846.29,334.22,70.47,2183.42,329.78,347.62,2.49,76.24,617.07,47.0,0.47,434.84,182.23,70.47,84.9,1.1,Unsafe
133.09,211.7,175.17,2243.63,275.62,189.34,71.02,795.55,41.25,78.6,0.45,37.13,52.19,12.28,0.123,37.06,15.13,71.02,94.81,0.14,Safe
71.37,265.29,84.08,1527.47,945.35,442.63,90.05,432.85,170.4,193.92,2.31,73.1,418.44,61.89,0.619,376.81,41.64,90.05,60.63,0.57,Safe
63.5,355.03,94.46,938.38,861.58,85.51,88.42,1726.57,409.46,291.53,3.09,82.11,73.67,91.81,0.918,65.14,8.53,88.42,76.28,1.36,Unsafe
56.53,463.18,155.72,136.91,106.81,71.52,51.41,932.45,418.8,406.66,2.61,87.8,7.64,78.02,0.78,3.93,3.71,51.41,55.09,1.4,Unsafe
29.52,468.86,86.77,2941.51,592.1,255.04,65.03,1837.35,1291.35,439.34,5.06,93.7,151.01,20.13,0.201,98.21,52.8,65.03,29.72,4.3,Unsafe
68.96,303.87,31.02,1260.28,301.35,145.11,88.87,533.44,430.61,234.9,7.57,77.31,43.73,23.91,0.239,38.86,4.87,88.87,19.28,1.44,Unsafe
74.13,330.68,132.42,4669.83,91.32,117.29,40.65,4806.11,1582.41,256.55,1.94,77.58,10.71,1.96,0.02,4.35,6.36,40.65,67.08,5.27,Unsafe
38.93,396.02,111.09,4334.8,2905.1,219.05,44.24,2543.69,1617.49,357.1,3.21,90.17,636.37,67.02,0.67,281.53,354.84,44.24,36.41,5.39,Unsafe
137.37,494.03,160.0,2816.42,2262.91,479.52,55.7,3454.48,1438.73,356.66,2.23,72.19,1085.11,80.35,0.803,604.42,480.69,55.7,58.35,4.8,Unsafe
117.45,223.13,112.52,1947.92,1866.64,496.76,64.71,3111.79,24.07,105.68,0.94,47.36,927.27,95.83,0.958,600.08,327.19,64.71,99.23,0.08,Safe
104.18,490.36,35.06,3888.51,890.94,179.94,73.88,3157.1,754.72,386.18,11.01,78.75,160.32,22.91,0.229,118.45,41.87,73.88,76.09,2.52,Unsafe
84.44,174.34,131.91,592.59,167.79,186.45,50.6,292.48,85.99,89.91,0.68,51.57,31.28,28.31,0.283,15.83,15.45,50.6,70.6,0.29,Safe
70.8,431.87,155.0,4044.02,1986.19,297.96,73.13,2046.25,468.47,361.08,2.33,83.61,591.82,49.11,0.491,432.81,159.01,73.13,77.11,1.56,Unsafe
86.72,114.13,73.01,2950.22,2807.08,234.5,49.13,3525.28,1719.22,27.41,0.38,24.02,658.25,95.15,0.951,323.4,334.85,49.13,51.23,5.73,Unsafe
21.6,268.96,86.85,1339.87,347.35,65.42,87.64,1834.26,635.98,247.36,2.85,91.97,22.72,25.92,0.259,19.91,2.81,87.64,65.33,2.12,Unsafe
42.23,90.66,165.81,4508.8,418.48,305.66,61.66,4264.03,2190.67,48.43,0.29,53.42,127.91,9.28,0.093,78.87,49.04,61.66,48.62,7.3,Unsafe
83.92,333.32,71.15,1737.98,1332.14,471.96,94.9,4276.3,2890.69,249.39,3.51,74.82,628.72,76.65,0.766,596.63,32.09,94.9,32.4,9.64,Unsafe
56.26,441.5,179.63,1089.97,202.73,91.42,63.78,935.76,784.64,385.25,2.14,87.26,18.53,18.6,0.186,11.82,6.71,63.78,16.15,2.62,Unsafe
111.55,247.53,64.24,892.01,472.48,186.99,59.04,3157.42,228.95,135.98,2.12,54.94,88.35,52.97,0.53,52.17,36.18,59.04,92.75,0.76,Safe
126.97,146.98,162.56,4721.83,172.62,100.71,51.87,748.44,130.34,20.01,0.12,13.62,17.38,3.66,0.037,9.02,8.37,51.87,82.58,0.43,Safe
142.29,300.98,65.81,3109.73,16.86,474.14,76.68,4670.28,1303.54,158.68,2.41,52.72,7.99,0.54,0.005,6.13,1.86,76.68,72.09,4.35,Unsafe
116.21,424.99,70.98,778.08,304.01,426.99,41.47,2141.27,1511.07,308.77,4.35,72.66,129.81,39.07,0.391,53.83,75.98,41.47,29.43,5.04,Unsafe
60.1,267.08,139.41,2062.1,327.67,121.71,93.57,4571.64,2895.21,206.98,1.48,77.5,39.88,15.89,0.159,37.32,2.56,93.57,36.67,9.65,Unsafe
69.51,256.2,87.32,2382.21,2209.37,323.01,47.5,343.87,101.67,186.69,2.14,72.87,713.65,92.74,0.927,338.96,374.69,47.5,70.43,0.34,Safe
61.12,298.58,152.48,293.71,36.11,353.73,90.11,152.3,132.43,237.46,1.56,79.53,12.77,12.29,0.123,11.51,1.26,90.11,13.05,0.44,Safe
24.25,497.83,53.23,3540.93,2560.18,69.92,43.41,611.83,110.46,473.58,8.9,95.13,179.01,72.3,0.723,77.7,101.31,43.41,81.95,0.37,Safe
92.58,184.65,152.87,4339.91,1197.66,499.98,69.24,2414.03,1546.31,92.07,0.6,49.86,598.81,27.6,0.276,414.62,184.19,69.24,35.94,5.15,Unsafe
90.03,429.41,85.01,849.91,839.02,202.45,77.27,4603.6,1905.47,339.38,3.99,79.03,169.86,98.72,0.987,131.25,38.61,77.27,58.61,6.35,Unsafe
149.17,440.5,74.23,3223.42,2830.02,346.76,66.61,3584.84,1083.44,291.33,3.92,66.14,981.34,87.8,0.878,653.63,327.71,66.61,69.78,3.61,Unsafe
84.93,169.09,138.25,2252.99,866.18,264.29,79.39,3033.48,698.1,84.16,0.61,49.77,228.92,38.45,0.384,181.74,47.18,79.39,76.99,2.33,Unsafe
44.08,279.03,91.21,4789.4,2964.04,404.28,68.6,4988.36,142.66,234.96,2.58,84.2,1198.31,61.89,0.619,822.09,376.22,68.6,97.14,0.48,Safe
122.19,163.81,73.56,147.86,71.17,196.16,66.29,1218.11,41.17,41.61,0.57,25.4,13.96,48.13,0.481,9.25,4.71,66.29,96.62,0.14,Safe
128.68,392.52,151.19,3701.68,1559.27,265.67,41.24,116.21,19.03,263.84,1.75,67.22,414.25,42.12,0.421,170.85,243.41,41.24,83.62,0.06,Safe
82.76,301.37,61.14,947.45,446.76,210.56,73.45,3391.69,2937.59,218.62,3.58,72.54,94.07,47.15,0.472,69.09,24.98,73.45,13.39,9.79,Unsafe
63.72,298.07,50.66,943.08,497.1,420.4,49.9,3663.93,645.92,234.36,4.63,78.62,208.98,52.71,0.527,104.29,104.7,49.9,82.37,2.15,Unsafe
59.33,308.37,46.43,94.26,13.46,458.12,57.4,240.74,76.32,249.04,5.36,80.76,6.16,14.28,0.143,3.54,2.63,57.4,68.3,0.25,Safe
